,Unnamed: 0.1,Unnamed: 0,Unique ID,Status Code,Recipient,Site Address,City,Type,Size of Array (in kW),Value of grant,Value of Project,Installer,Commissioning Date,Latitude,Longitude,Image URL
165,165,165,S015,C,1 Rice Lake Area School District,"Rice Lake HS, 30 S Wisconsin Ave. Rice Lake, WI 54868",Rice Lake,School,300.0,15747.2,630000.0,Carlson Electric,9/1/21 0:00,45.49986389,-91.746567,
166,166,166,S016,C,2 Milwaukee Area Technical College Mequon,"5555 West Highland Rd. Mequon, WI 53092",Mequon,Technical College,338.0,18981.0,709800.0,Arch Electric,7/1/21 0:00,43.24906944,-87.980497,
167,167,167,S017,C,2 Milwaukee Area Technical College Oak Creek,"6665 South Howell Ave. Oak Creek, WI 53154",Oak Creek,Technical College,342.0,18981.0,718200.0,Arch Electric,7/1/21 0:00,42.92508056,-87.916158,
168,168,168,S018,C,3 Hamilton Elementary School,"1111 S. 7th Street, La Crosse, WI 54601",LaCrosse,School,97.68,18559.2,205128.0,"Solar Connections, LLC",8/1/21 0:00,43.80011944,-91.247061,
169,169,169,S019,C,4 Sevastopol School District,"4550 Hwy 57, Sturgeon Bay, WI 54235",Sturgeon Bay,School,19.98,3796.2,42800.0,Eland Electric,5/1/21 0:00,44.89071111,-87.289419,
170,170,170,S021,C,5 Madison College - Watertown Campus,1300 W. Main St. Watertown WI 53098,Watertown,Technical College,150.0,37962.0,315000.0,Arch Electric,3/1/21 0:00,43.19836389,-88.754656,
171,171,171,S022,C,4 Sawyer Elementary School - Sturgeon Bay School District,"60 Willow Drive, Sturgeon Bay, WI 54235",Sturgeon Bay,Technical College,51.8,9842.0,108780.0,Eland Electric,9/1/21 0:00,44.82251111,-87.384253,
172,172,172,S023,C,2 Chippewa Valley Technical College,"Energy Education Center CVTC, 4000 Campus Road, Eau Claire WI 54703",Eau Claire,Technical College,80.0,26573.4,168000.0,Next Step Energy,4/1/21 0:00,44.83812778,-91.552797,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/S023-CVTC-solar-installation-2021.jpg
173,173,173,S024,C,6 Cashton School District,"436 Front St, Cashton, WI 54619",Cashton,School,61.0,11669.8,128100.0,Olson Solar Energy,8/1/21 0:00,43.73896389,-90.783444,
174,174,174,S025,C,6 Madison College - Truax Fitness Center,1701 Wright St. Madison WI 53704,Madison,Technical College,72.6,18981.0,152460.0,Arch Electric,8/1/21 0:00,43.12179167,-89.329653,
175,175,175,S026,C,2 Lakeshore Technical College,"1290 North Avenue Cleveland, WI 53015",Cleveland,Technical College,20.72,3936.8,43512.0,Arch Electric,9/1/21 0:00,43.92388889,-87.752678,
176,176,176,S027,C,7  Elkhorn School District,482 E. Geneva Street,Elkhorn,School,9.99,3796.2,20979.0,Adams Electric,10/1/21 0:00,42.6718,-88.531606,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/S027-Elkhorn-SD-Greenhouse-solar.jpg
177,177,177,S028,C,Owen-Withee High School,"832 W 3rd St, Owen, WI 54460",Owen,School,115.4,158515.0,158515.0,Next Step Energy ,10/1/22 0:00,44.94969722,-90.579431,
178,178,178,S029,C,Reedsburg - Pineview El.,"1121 8th Street, Reedsburg, WI 53959",Reedsburg,School,33.8,15219.0,70980.0,All Sky Energies,9/1/22 0:00,43.54050278,-89.992458,
179,179,179,S031,C,Northland Pines - St Germain Elementary ,"8234 W STH 70, St Germain, WI 54558",St. Germain,School,70.0,15819.75,147000.0,Carlson Electric,7/1/22 0:00,45.91286389,-89.498425,
180,180,180,S035,C,West Salem SD - West Salem Middle School,"440 East Ave, West Salem, WI 54669",West Salem,School,128.16,28836.0,269136.0,"Solar Connections, Inc",9/1/22 0:00,43.90072778,-91.076556,
181,181,181,S038,C,Baraboo HS,"1201 Draper St, Baraboo, WI 53913",Baraboo,School,150.0,25000.0,315000.0,Westphal Electric ,8/1/22 0:00,43.47716111,-89.755889,
